                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9625,                 3.9643,                 1.7344,                0.00627,                0.29689,                  0.028,                0.01592,                 1.4722,                 4.0482,                 1.7231,              7.777e-05,              7.777e-05,              7.777e-05
                      2,                 1.7604,                 3.4585,                 1.6088,                0.01233,                0.62845,                0.10742,                0.05995,                 1.2893,                 3.8852,                 1.4827,             0.00016335,             0.00016335,             0.00016335
                      3,                 1.6899,                 2.6351,                 1.5176,                0.01275,                0.72415,                0.12685,                0.07127,                 1.3112,                 3.6718,                  1.432,             0.00024541,             0.00024541,             0.00024541
                      4,                 1.6318,                 2.2926,                 1.4404,                0.01165,                0.67115,                0.26359,                0.15804,                 1.3444,                 3.5318,                 1.4345,             0.00032395,             0.00032395,             0.00032395
                      5,                 1.5732,                 2.0259,                 1.4296,                0.93681,                0.10489,                0.31158,                0.19158,                 1.3314,                 3.4781,                 1.5014,             0.00039897,             0.00039897,             0.00039897
                      6,                 1.5511,                 1.8235,                 1.4072,                0.01065,                0.78333,                0.22957,                0.12809,                 1.3868,                 3.4499,                 1.5998,             0.00047048,             0.00047048,             0.00047048
                      7,                 1.5372,                 1.6134,                 1.3969,                0.80036,                0.21979,                0.36126,                0.19311,                 1.4254,                 3.2922,                 1.6249,             0.00053846,             0.00053846,             0.00053846
                      8,                 1.5396,                 1.6342,                 1.4014,                0.95795,                0.13445,                0.43194,                0.25545,                 1.4399,                 3.1804,                 1.6138,             0.00060292,             0.00060292,             0.00060292
                      9,                 1.4963,                 1.5915,                 1.4159,                 0.7767,                 0.3945,                0.65914,                0.34626,                  1.499,                 2.6111,                 1.5913,             0.00066386,             0.00066386,             0.00066386
                     10,                 1.4755,                 1.4513,                 1.3377,                0.71526,                0.48101,                0.67864,                0.36991,                  1.478,                 2.5022,                 1.5945,             0.00072129,             0.00072129,             0.00072129
                     11,                  1.486,                 1.4211,                 1.3391,                0.69835,                0.40952,                0.61663,                0.33625,                 1.5616,                 2.5926,                 1.6272,             0.00077519,             0.00077519,             0.00077519
                     12,                 1.4566,                 1.4032,                 1.3618,                0.73026,                0.46463,                0.62597,                0.33892,                 1.6317,                  2.537,                 1.6558,             0.00082557,             0.00082557,             0.00082557
                     13,                 1.5493,                 1.3901,                 1.3946,                0.73601,                0.47758,                 0.5928,                0.32616,                 1.6039,                 2.6658,                 1.6329,             0.00084703,             0.00084703,             0.00084703
                     14,                 1.4202,                  1.384,                  1.352,                0.66834,                0.48328,                0.55955,                  0.323,                 1.5649,                 2.4768,                  1.649,             0.00082503,             0.00082503,             0.00082503
                     15,                 1.4019,                 1.3076,                 1.3268,                0.78256,                0.41516,                0.55138,                0.31134,                 1.6002,                 2.4695,                 1.7048,             0.00080303,             0.00080303,             0.00080303
                     16,                 1.4548,                 1.2901,                 1.3312,                0.78143,                0.44692,                0.56042,                0.29224,                 1.6307,                 2.4136,                 1.6742,             0.00078103,             0.00078103,             0.00078103
                     17,                 1.3622,                 1.2584,                 1.2982,                 0.7554,                0.55122,                0.64099,                 0.3595,                 1.6181,                 2.2178,                 1.6702,             0.00075904,             0.00075904,             0.00075904
                     18,                 1.4295,                 1.2086,                 1.3286,                   0.65,                 0.6717,                 0.7096,                0.39707,                  1.501,                 2.0501,                 1.5802,             0.00073704,             0.00073704,             0.00073704
                     19,                 1.3827,                  1.168,                 1.2733,                0.73436,                0.67188,                0.76485,                0.43084,                 1.4861,                 1.9507,                 1.6048,             0.00071504,             0.00071504,             0.00071504
                     20,                 1.3565,                 1.1542,                 1.2795,                0.71462,                0.62384,                0.73477,                0.41905,                  1.523,                   2.19,                 1.6604,             0.00069304,             0.00069304,             0.00069304
                     21,                 1.3716,                  1.176,                 1.2971,                0.65579,                0.71084,                0.76614,                0.45817,                 1.4479,                 2.0696,                 1.6141,             0.00067104,             0.00067104,             0.00067104
                     22,                 1.3536,                 1.1271,                 1.2695,                0.76575,                0.65159,                0.76264,                0.45317,                 1.4284,                 1.9433,                 1.5763,             0.00064905,             0.00064905,             0.00064905
                     23,                 1.3301,                 1.1167,                 1.2893,                0.75458,                0.73477,                 0.8025,                 0.4259,                 1.5341,                 1.9053,                 1.6463,             0.00062705,             0.00062705,             0.00062705
